 0.817E-04 0.670E-04 0.514E-04 0.544E-04 0.491E-04 0.530E-04 0.542E-04 0.730E-04 0.535E-04 0.486E-04 0.650E-04 0.543E-04 0.448E-04 0.419E-04 0.783E-04 0.453E-04 0.596E-04 0.488E-04 0.787E-04 0.556E-04 0.574E-04 0.605E-04 0.491E-04 0.405E-04 0.582E-04 0.449E-04 0.420E-04 0.485E-04
 0.524E-04 0.509E-04 0.443E-04 0.422E-04 0.456E-04 0.398E-04 0.454E-04 0.763E-04 0.732E-04 0.736E-04 0.667E-04 0.216E-03 0.731E-04 0.827E-04 0.734E-04 0.108E-03 0.939E-04 0.959E-04 0.683E-04 0.584E-04 0.716E-04 0.655E-04 0.624E-04 0.582E-04 0.650E-04 0.603E-04 0.563E-04 0.577E-04
 0.505E-04 0.413E-04 0.404E-04 0.184E-03 0.577E-04 0.566E-04 0.533E-04 0.684E-04 0.865E-04 0.188E-03 0.308E-03 0.584E-03 0.903E-03 0.143E-02 0.242E-02 0.229E-02 0.247E-02 0.236E-02 0.358E-02 0.206E-02 0.131E-02 0.846E-03 0.213E-03 0.858E-04 0.624E-04 0.538E-04 0.537E-04 0.540E-04
 0.554E-04 0.604E-04 0.558E-04 0.449E-04 0.494E-04 0.568E-04 0.913E-04 0.180E-03 0.548E-03 0.127E-02 0.159E-02 0.276E-02 0.389E-02 0.803E-02 0.142E-01 0.185E-01 0.189E-01 0.191E-01 0.150E-01 0.659E-02 0.421E-02 0.225E-02 0.818E-03 0.204E-03 0.958E-04 0.624E-04 0.443E-04 0.448E-04
 0.594E-04 0.570E-04 0.465E-04 0.521E-04 0.636E-04 0.125E-03 0.423E-03 0.107E-02 0.180E-02 0.321E-02 0.645E-02 0.148E-01 0.286E-01 0.573E-01 0.969E-01 0.141E+00 0.173E+00 0.147E+00 0.944E-01 0.555E-01 0.261E-01 0.140E-01 0.773E-02 0.285E-02 0.750E-03 0.995E-04 0.484E-04 0.556E-04
 0.516E-04 0.431E-04 0.633E-04 0.853E-04 0.193E-03 0.783E-03 0.191E-02 0.289E-02 0.420E-02 0.126E-01 0.323E-01 0.915E-01 0.235E+00 0.467E+00 0.603E+00 0.645E+00 0.662E+00 0.580E+00 0.656E+00 0.210E+00 0.961E-01 0.359E-01 0.155E-01 0.213E-01 0.486E-02 0.130E-02 0.104E-03 0.550E-04
 0.435E-04 0.525E-04 0.678E-04 0.912E-04 0.467E-03 0.148E-02 0.309E-02 0.550E-02 0.154E-01 0.489E-01 0.122E+00 0.378E+00 0.896E+00 0.833E+00 0.794E+00 0.812E+00 0.847E+00 0.804E+00 0.689E+00 0.418E+00 0.153E+00 0.402E-01 0.136E-01 0.663E-02 0.567E-02 0.358E-02 0.417E-03 0.597E-04
 0.608E-04 0.597E-04 0.716E-04 0.283E-03 0.156E-02 0.232E-02 0.367E-02 0.899E-02 0.295E-01 0.827E-01 0.253E+00 0.582E+00 0.804E+00 0.732E+00 0.653E+00 0.628E+00 0.699E+00 0.718E+00 0.655E+00 0.523E+00 0.333E+00 0.335E-01 0.769E-02 0.467E-02 0.447E-02 0.357E-02 0.363E-03 0.656E-04
 0.622E-04 0.586E-04 0.131E-03 0.705E-03 0.137E-02 0.182E-02 0.744E-02 0.730E-02 0.272E-01 0.127E+00 0.405E+00 0.645E+00 0.656E+00 0.436E+00 0.237E+00 0.163E+00 0.229E+00 0.484E+00 0.503E+00 0.344E+00 0.104E+00 0.187E-01 0.459E-02 0.321E-02 0.416E-02 0.987E-02 0.289E-03 0.538E-04
 0.769E-04 0.557E-04 0.191E-03 0.799E-03 0.774E-03 0.191E-02 0.342E-02 0.540E-02 0.254E-01 0.124E+00 0.394E+00 0.554E+00 0.454E+00 0.147E+00 0.538E-01 0.497E-01 0.129E+00 0.341E+00 0.483E+00 0.338E+00 0.725E-01 0.133E-01 0.391E-02 0.321E-02 0.316E-02 0.246E-02 0.225E-03 0.475E-04
